Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
1; 76; 535.000000; 535.000000; 76; 535.000000;
7; 74; 282.000000; 282.000000; 74; 282.000000;
4; 63; 44.000000; 44.000000; 63; 44.000000;
19; 56; 545.000000; 545.000000; 56; 545.000000;
6; 55; 341.000000; 341.000000; 55; 341.000000;
10; 45; 330.000000; 327.000000; 45; 330.000000;
15; 44; 241.000000; 264.000000; 44; 241.000000;
18; 42; 327.000000; 292.000000; 42; 327.000000;
14; 36; 264.000000; 480.000000; 36; 264.000000;
16; 35; 292.000000; 242.000000; 35; 292.000000;
5; 33; 480.000000; 43.000000; 33; 480.000000;
0; 26; 43.000000; 544.000000; 26; 43.000000;
12; 26; 544.000000; 141.265823; 20; 544.000000;
9; 26; 426.000000; 134.202532; 44; 128.790698;
13; 24; 11.000000; 207.962025; 13; 11.000000;
8; 20; 242.000000; 197.000000; 32; 152.465116;
11; 18; 197.000000; 11.000000; 26; 89.162791;
3; 9; 55.000000; 55.000000; 16; 44.581395;



2; 96; 140.000000; 582.000000; 96; 140.000000;
17; 95; 265.000000; 46.000000; 95; 265.000000;
1; 76; 84.000000; 535.000000; 76; 84.000000;
7; 74; 20.000000; 282.000000; 74; 20.000000;
4; 63; 491.000000; 44.000000; 63; 491.000000;
19; 56; 173.000000; 545.000000; 56; 173.000000;
6; 55; 405.000000; 341.000000; 55; 405.000000;
10; 45; 197.000000; 330.000000; 45; 197.000000;
15; 44; 574.000000; 241.000000; 44; 574.000000;
9; 44; 309.000000; 128.790698; 19; 309.000000;
18; 42; 514.000000; 327.000000; 42; 514.000000;
14; 36; 436.000000; 264.000000; 36; 436.000000;
16; 35; 323.000000; 292.000000; 35; 323.000000;
5; 33; 58.000000; 480.000000; 33; 58.000000;
8; 32; 17.000000; 152.465116; 20; 17.000000;
0; 26; 428.000000; 43.000000; 26; 428.000000;
11; 26; 559.000000; 89.162791; 18; 559.000000;
12; 20; 209.000000; 544.000000; 20; 209.000000;
3; 16; 373.000000; 44.581395; 22; 66.206897;
13; 13; 378.000000; 11.000000; 14; 53.793103;



2; 96; 503.000000; 140.000000; 96; 503.000000;
17; 95; 336.000000; 265.000000; 95; 336.000000;
1; 76; 88.000000; 84.000000; 76; 88.000000;
7; 74; 567.000000; 20.000000; 74; 567.000000;
4; 63; 554.000000; 491.000000; 113; 440.884826;
19; 56; 587.000000; 173.000000; 93; 391.897623;
6; 55; 387.000000; 405.000000; 109; 384.899452;
10; 45; 110.000000; 197.000000; 45; 110.000000;
15; 44; 268.000000; 574.000000; 44; 268.000000;
18; 42; 467.000000; 514.000000; 42; 467.000000;
14; 36; 42.000000; 436.000000; 36; 42.000000;
16; 35; 227.000000; 323.000000; 35; 227.000000;
5; 33; 102.000000; 58.000000; 33; 102.000000;
0; 26; 583.000000; 428.000000; 26; 583.000000;
3; 22; 112.000000; 66.206897; 9; 112.000000;
12; 20; 556.000000; 209.000000; 27; 209.446069;
8; 20; 571.000000; 17.000000; 24; 139.963437;
9; 19; 550.000000; 309.000000; 23; 132.965265;
11; 18; 528.000000; 559.000000; 22; 125.967093;
13; 14; 12.000000; 53.793103; 13; 12.000000;



4; 113; 554.000000; 440.884826; 63; 554.000000;
6; 109; 387.000000; 384.899452; 55; 387.000000;
2; 96; 503.000000; 503.000000; 96; 503.000000;
17; 95; 336.000000; 336.000000; 95; 336.000000;
19; 93; 587.000000; 391.897623; 56; 587.000000;
1; 76; 88.000000; 88.000000; 76; 88.000000;
7; 74; 567.000000; 567.000000; 74; 567.000000;
10; 45; 110.000000; 110.000000; 45; 110.000000;
15; 44; 268.000000; 268.000000; 44; 268.000000;
18; 42; 550.000000; 467.000000; 42; 550.000000;
14; 36; 467.000000; 42.000000; 51; 202.426230;
16; 35; 42.000000; 227.000000; 35; 42.000000;
5; 33; 227.000000; 102.000000; 33; 227.000000;
12; 27; 583.000000; 209.446069; 57; 265.180328;
0; 26; 102.000000; 583.000000; 26; 102.000000;
8; 24; 528.000000; 139.963437; 43; 179.147541;
9; 23; 556.000000; 132.965265; 34; 129.327869;
11; 22; 112.000000; 125.967093; 34; 101.213115;
13; 13; 12.000000; 12.000000; 13; 12.000000;
3; 9; 571.000000; 112.000000; 10; 111.704918;



2; 96; 96.000000; 503.000000; 96; 96.000000;
17; 95; 490.000000; 336.000000; 95; 490.000000;
1; 76; 316.000000; 88.000000; 76; 316.000000;
7; 74; 510.000000; 567.000000; 74; 510.000000;
4; 63; 100.000000; 554.000000; 63; 100.000000;
12; 57; 382.000000; 265.180328; 20; 382.000000;
19; 56; 366.000000; 587.000000; 56; 366.000000;
6; 55; 74.000000; 387.000000; 55; 74.000000;
14; 51; 198.000000; 202.426230; 36; 198.000000;
10; 45; 27.000000; 110.000000; 45; 27.000000;
15; 44; 242.000000; 268.000000; 44; 242.000000;
8; 43; 178.000000; 179.147541; 20; 178.000000;
18; 42; 211.000000; 550.000000; 42; 211.000000;
16; 35; 467.000000; 42.000000; 35; 467.000000;
9; 34; 399.000000; 129.327869; 19; 399.000000;
11; 34; 307.000000; 101.213115; 18; 307.000000;
5; 33; 220.000000; 227.000000; 33; 220.000000;
0; 26; 423.000000; 102.000000; 26; 423.000000;
13; 13; 532.000000; 12.000000; 17; 186.727273;
3; 10; 37.000000; 111.704918; 9; 37.000000;



2; 96; 100.000000; 96.000000; 96; 100.000000;
17; 95; 74.000000; 490.000000; 95; 74.000000;
1; 76; 96.000000; 316.000000; 76; 96.000000;
7; 74; 490.000000; 510.000000; 74; 490.000000;
4; 63; 366.000000; 100.000000; 63; 366.000000;
19; 56; 510.000000; 366.000000; 56; 510.000000;
6; 55; 27.000000; 74.000000; 55; 27.000000;
10; 45; 211.000000; 27.000000; 45; 211.000000;
15; 44; 198.000000; 242.000000; 44; 198.000000;
18; 42; 220.000000; 211.000000; 42; 220.000000;
14; 36; 242.000000; 198.000000; 36; 242.000000;
16; 35; 382.000000; 467.000000; 35; 382.000000;
5; 33; 399.000000; 220.000000; 33; 399.000000;
0; 26; 307.000000; 423.000000; 26; 307.000000;
12; 20; 316.000000; 382.000000; 20; 316.000000;
8; 20; 467.000000; 178.000000; 20; 467.000000;
9; 19; 423.000000; 399.000000; 19; 423.000000;
11; 18; 178.000000; 307.000000; 18; 178.000000;
13; 17; 532.000000; 186.727273; 32; 206.615385;
3; 9; 37.000000; 37.000000; 9; 37.000000;



2; 96; 221.000000; 100.000000; 96; 221.000000;
17; 95; 179.000000; 74.000000; 95; 179.000000;
1; 76; 126.000000; 96.000000; 76; 126.000000;
7; 74; 10.000000; 490.000000; 74; 10.000000;
4; 63; 93.000000; 366.000000; 63; 93.000000;
19; 56; 389.000000; 510.000000; 56; 389.000000;
6; 55; 169.000000; 27.000000; 55; 169.000000;
10; 45; 220.000000; 211.000000; 45; 220.000000;
15; 44; 598.000000; 198.000000; 44; 598.000000;
18; 42; 356.000000; 220.000000; 42; 356.000000;
14; 36; 281.000000; 242.000000; 36; 281.000000;
16; 35; 360.000000; 382.000000; 35; 360.000000;
5; 33; 461.000000; 399.000000; 33; 461.000000;
13; 32; 532.000000; 206.615385; 13; 532.000000;
0; 26; 495.000000; 307.000000; 42; 308.053571;
8; 20; 216.000000; 467.000000; 20; 216.000000;
12; 20; 49.000000; 316.000000; 20; 49.000000;
9; 19; 539.000000; 423.000000; 34; 434.044643;
11; 18; 167.000000; 178.000000; 18; 167.000000;
3; 9; 594.000000; 37.000000; 11; 152.901786;



2; 96; 200.000000; 221.000000; 96; 200.000000;
17; 95; 184.000000; 179.000000; 95; 184.000000;
1; 76; 359.000000; 126.000000; 76; 359.000000;
7; 74; 110.000000; 10.000000; 74; 110.000000;
4; 63; 54.000000; 93.000000; 63; 54.000000;
19; 56; 519.000000; 389.000000; 56; 519.000000;
6; 55; 48.000000; 169.000000; 55; 48.000000;
10; 45; 16.000000; 220.000000; 45; 16.000000;
15; 44; 554.000000; 598.000000; 44; 554.000000;
18; 42; 501.000000; 356.000000; 42; 501.000000;
0; 42; 430.000000; 308.053571; 26; 430.000000;
14; 36; 585.000000; 281.000000; 36; 585.000000;
16; 35; 319.000000; 360.000000; 35; 319.000000;
9; 34; 490.000000; 434.044643; 95; 329.275168;
5; 33; 221.000000; 461.000000; 33; 221.000000;
12; 20; 261.000000; 49.000000; 20; 261.000000;
8; 20; 316.000000; 216.000000; 34; 224.973154;
11; 18; 280.000000; 167.000000; 29; 174.322148;
13; 13; 191.000000; 532.000000; 21; 125.899329;
3; 11; 361.000000; 152.901786; 18; 106.530201;



2; 96; 200.000000; 200.000000; 96; 200.000000;
17; 95; 184.000000; 184.000000; 95; 184.000000;
9; 95; 191.000000; 329.275168; 19; 191.000000;
1; 76; 359.000000; 359.000000; 76; 359.000000;
7; 74; 110.000000; 110.000000; 74; 110.000000;
4; 63; 54.000000; 54.000000; 63; 54.000000;
19; 56; 519.000000; 519.000000; 56; 519.000000;
6; 55; 48.000000; 48.000000; 55; 48.000000;
10; 45; 16.000000; 16.000000; 45; 16.000000;
15; 44; 554.000000; 554.000000; 44; 554.000000;
18; 42; 501.000000; 501.000000; 42; 501.000000;
14; 36; 319.000000; 585.000000; 36; 319.000000;
16; 35; 221.000000; 319.000000; 35; 221.000000;
8; 34; 261.000000; 224.973154; 20; 261.000000;
5; 33; 430.000000; 221.000000; 33; 430.000000;
11; 29; 490.000000; 174.322148; 84; 344.692982;
0; 26; 585.000000; 430.000000; 39; 309.035088;
13; 21; 280.000000; 125.899329; 75; 249.605263;
12; 20; 316.000000; 261.000000; 35; 237.719298;
3; 18; 361.000000; 106.530201; 72; 213.947368;



2; 96; 268.000000; 200.000000; 96; 268.000000;
17; 95; 238.000000; 184.000000; 95; 238.000000;
11; 84; 428.000000; 344.692982; 18; 428.000000;
1; 76; 332.000000; 359.000000; 76; 332.000000;
13; 75; 349.000000; 249.605263; 13; 349.000000;
7; 74; 242.000000; 110.000000; 74; 242.000000;
