Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
2; 41; 413.000000; 271.000000; 119; 215.800000;
3; 37; 25.000000; 413.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 7.000000; 101.000000; 33; 7.000000;
13; 28; 372.000000; 173.510204; 13; 372.000000;
14; 26; 541.000000; 486.000000; 68; 331.882927;
16; 5; 112.000000; 7.000000; 26; 26.317073;



2; 119; 413.000000; 215.800000; 41; 413.000000;
10; 96; 112.000000; 453.000000; 96; 112.000000;
18; 94; 453.000000; 11.000000; 94; 453.000000;
6; 91; 11.000000; 502.000000; 91; 11.000000;
7; 90; 502.000000; 450.000000; 90; 502.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
8; 86; 450.000000; 82.000000; 86; 450.000000;
1; 82; 300.000000; 166.000000; 82; 300.000000;
19; 76; 166.000000; 202.000000; 76; 166.000000;
14; 68; 372.000000; 331.882927; 26; 372.000000;
12; 65; 541.000000; 96.000000; 65; 541.000000;
11; 47; 37.000000; 37.000000; 47; 37.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
3; 37; 25.000000; 25.000000; 37; 25.000000;
17; 35; 101.000000; 101.000000; 35; 101.000000;
15; 33; 7.000000; 7.000000; 33; 7.000000;
16; 26; 572.000000; 26.317073; 220; 299.520000;
4; 25; 96.000000; 486.000000; 25; 96.000000;
13; 13; 486.000000; 372.000000; 31; 341.760000;
0; 11; 202.000000; 572.000000; 28; 126.720000;



16; 220; 7.000000; 299.520000; 5; 7.000000;
10; 96; 453.000000; 112.000000; 96; 453.000000;
18; 94; 11.000000; 453.000000; 94; 11.000000;
6; 91; 502.000000; 11.000000; 91; 502.000000;
7; 90; 450.000000; 502.000000; 90; 450.000000;
8; 86; 300.000000; 450.000000; 86; 300.000000;
5; 86; 82.000000; 82.000000; 86; 82.000000;
1; 82; 166.000000; 300.000000; 82; 166.000000;
19; 76; 541.000000; 166.000000; 76; 541.000000;
12; 65; 96.000000; 541.000000; 65; 96.000000;
11; 47; 37.000000; 37.000000; 47; 37.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
2; 41; 112.000000; 413.000000; 41; 112.000000;
3; 37; 413.000000; 25.000000; 37; 413.000000;
17; 35; 25.000000; 101.000000; 35; 25.000000;
15; 33; 101.000000; 7.000000; 33; 101.000000;
13; 31; 372.000000; 341.760000; 13; 372.000000;
0; 28; 572.000000; 126.720000; 269; 272.202532;
14; 26; 202.000000; 372.000000; 26; 202.000000;
4; 25; 486.000000; 96.000000; 66; 293.797468;



0; 269; 486.000000; 272.202532; 11; 486.000000;
10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
5; 86; 300.000000; 82.000000; 86; 300.000000;
8; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
4; 66; 572.000000; 293.797468; 25; 572.000000;
12; 65; 202.000000; 96.000000; 65; 202.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 37.000000; 271.000000; 43; 37.000000;
2; 41; 271.000000; 112.000000; 41; 271.000000;
3; 37; 413.000000; 413.000000; 131; 161.200000;
17; 35; 25.000000; 25.000000; 35; 25.000000;
15; 33; 101.000000; 101.000000; 33; 101.000000;
14; 26; 372.000000; 202.000000; 76; 190.242857;
13; 13; 7.000000; 372.000000; 13; 7.000000;
16; 5; 112.000000; 7.000000; 15; 53.557143;



3; 131; 25.000000; 161.200000; 37; 25.000000;
10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
8; 86; 300.000000; 82.000000; 86; 300.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
