Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
9; 2; 16; 39.839022; 39.851097; 16; 39.839022;
9; 13; 9; 14.841060; 17.474671; 9; 14.841060;
9; 14; 8; 45.754581; 45.233228; 8; 45.754581;
9; 7; 7; 15.564417; 15.098380; 4; 15.564417;



10; 18; 94; 19.357962; 17.937249; 94; 19.357962;
10; 17; 84; 17.776441; 18.448275; 84; 18.448275;
10; 5; 80; 10.201951; 13.070223; 80; 13.070223;
10; 3; 79; 17.980495; 18.583631; 79; 18.583631;
10; 10; 74; 46.180806; 46.056332; 74; 46.180806;
10; 12; 67; 45.415791; 46.186832; 67; 46.186832;
10; 6; 59; 4.186816; 7.739699; 59; 7.739699;
10; 9; 59; 48.696746; 49.062593; 59; 49.062593;
10; 19; 54; 45.257076; 47.172593; 54; 45.912889;
10; 4; 48; 3.540586; 5.433785; 48; 3.540586;
10; 0; 46; 3.540586; 3.747117; 46; 3.540586;
10; 15; 42; 18.037996; 16.686569; 42; 18.037996;
10; 11; 35; 45.574204; 46.186446; 35; 45.574204;
10; 1; 30; 46.125784; 46.061980; 30; 46.125784;
10; 8; 19; 17.283359; 16.183417; 19; 17.283359;
10; 16; 16; 47.065069; 45.444179; 16; 47.065069;
10; 2; 16; 37.464381; 39.839022; 16; 37.464381;
10; 13; 9; 16.355117; 14.841060; 9; 16.355117;
10; 14; 8; 45.880645; 45.754581; 8; 45.880645;
10; 7; 4; 14.589363; 15.564417; 4; 14.589363;



11; 18; 94; 19.081739; 19.357962; 94; 19.081739;
11; 17; 84; 18.612993; 18.448275; 84; 18.612993;
11; 5; 80; 10.310214; 13.070223; 80; 10.310214;
11; 3; 79; 16.625064; 18.583631; 79; 16.625064;
11; 10; 74; 45.858723; 46.180806; 74; 45.858723;
11; 12; 67; 45.801404; 46.186832; 67; 45.801404;
11; 6; 59; 6.555161; 7.739699; 59; 6.555161;
11; 9; 59; 48.498065; 49.062593; 59; 48.498065;
11; 19; 54; 46.522807; 45.912889; 54; 46.522807;
11; 4; 48; 11.019257; 3.540586; 48; 11.019257;
11; 0; 46; 11.019257; 3.540586; 46; 11.019257;
11; 15; 42; 17.041343; 18.037996; 42; 17.041343;
11; 11; 35; 47.854444; 45.574204; 35; 47.854444;
11; 1; 30; 46.042504; 46.125784; 30; 46.042504;
11; 8; 19; 15.650672; 17.283359; 19; 15.650672;
11; 16; 16; 45.841202; 47.065069; 16; 45.841202;
11; 2; 16; 36.392839; 37.464381; 16; 36.392839;
11; 13; 9; 17.183274; 16.355117; 9; 17.183274;
11; 14; 8; 48.147172; 45.880645; 8; 48.147172;
11; 7; 4; 15.993300; 14.589363; 5; 5.941866;



12; 18; 94; 18.256382; 19.081739; 94; 18.256382;
12; 17; 84; 17.539447; 18.612993; 84; 17.539447;
12; 5; 80; 11.472947; 10.310214; 80; 11.472947;
12; 3; 79; 19.091891; 16.625064; 79; 19.091891;
12; 10; 74; 47.922431; 45.858723; 74; 47.922431;
12; 12; 67; 47.128149; 45.801404; 67; 47.128149;
12; 6; 59; 8.331456; 6.555161; 59; 8.331456;
12; 9; 59; 48.209361; 48.498065; 59; 48.209361;
12; 19; 54; 45.420597; 46.522807; 54; 45.420597;
12; 4; 48; 13.210569; 11.019257; 48; 13.210569;
12; 0; 46; 13.210569; 11.019257; 46; 13.210569;
12; 15; 42; 18.830254; 17.041343; 42; 18.830254;
12; 11; 35; 46.164965; 47.854444; 35; 46.164965;
12; 1; 30; 45.862947; 46.042504; 30; 45.862947;
12; 8; 19; 14.886488; 15.650672; 19; 14.886488;
12; 16; 16; 46.653203; 45.841202; 16; 46.653203;
12; 2; 16; 39.336124; 36.392839; 16; 39.336124;
12; 13; 9; 15.269662; 17.183274; 9; 15.269662;
12; 14; 8; 46.111536; 48.147172; 14; 37.789650;
12; 7; 5; 16.335555; 5.941866; 8; 5.412908;



13; 18; 94; 17.536681; 18.256382; 94; 17.536681;
13; 17; 84; 17.302946; 17.539447; 84; 17.302946;
13; 5; 80; 8.795256; 11.472947; 80; 8.795256;
13; 3; 79; 18.448203; 19.091891; 79; 18.448203;
13; 10; 74; 48.084343; 47.922431; 74; 48.084343;
13; 12; 67; 44.295756; 47.128149; 67; 44.295756;
13; 6; 59; 9.778776; 8.331456; 59; 9.778776;
13; 9; 59; 48.461492; 48.209361; 59; 48.461492;
13; 19; 54; 45.050383; 45.420597; 54; 45.050383;
13; 4; 48; 5.864393; 13.210569; 48; 5.864393;
13; 0; 46; 5.864393; 13.210569; 46; 5.864393;
13; 15; 42; 17.450396; 18.830254; 42; 17.450396;
13; 11; 35; 46.393239; 46.164965; 35; 46.393239;
13; 1; 30; 45.820353; 45.862947; 30; 45.820353;
13; 8; 19; 18.711784; 14.886488; 19; 18.711784;
13; 16; 16; 45.893346; 46.653203; 16; 45.893346;
13; 2; 16; 39.418516; 39.336124; 16; 39.418516;
13; 14; 14; 45.687570; 37.789650; 8; 45.687570;
13; 13; 9; 15.916868; 15.269662; 9; 15.916868;
13; 7; 8; 16.376948; 5.412908; 57; 15.225306;



14; 18; 94; 18.911797; 17.536681; 94; 18.911797;
