Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
14; 12; 17; 46.011755; 31.065403; 64; 43.495617;
14; 10; 15; 46.424084; 48.084343; 27; 38.378486;
14; 19; 15; 47.320621; 45.050383; 27; 38.378486;
14; 16; 15; 46.355806; 17.972057; 91; 38.378486;
14; 18; 13; 18.911797; 17.536681; 13; 18.911797;
14; 8; 12; 15.390541; 18.711784; 12; 15.390541;
14; 9; 11; 48.590048; 48.461492; 11; 48.590048;
14; 1; 9; 45.481608; 45.820353; 15; 32.243072;



15; 17; 92; 18.242275; 17.601594; 92; 18.242275;
15; 16; 91; 46.107003; 38.378486; 7; 46.107003;
15; 0; 72; 6.530207; 4.282336; 72; 6.530207;
15; 12; 64; 46.000608; 43.495617; 10; 46.000608;
15; 11; 61; 46.449953; 46.032366; 61; 46.449953;
15; 6; 55; 9.366009; 8.172710; 55; 9.366009;
15; 14; 52; 45.286701; 45.551016; 52; 45.286701;
15; 7; 48; 16.831432; 17.358094; 48; 16.831432;
15; 5; 46; 9.394559; 11.402129; 46; 9.394559;
15; 15; 36; 19.154758; 18.585348; 36; 19.154758;
15; 3; 30; 17.555657; 18.933370; 30; 17.555657;
15; 2; 30; 36.399720; 38.643910; 30; 36.399720;
15; 19; 27; 46.344878; 38.378486; 15; 46.344878;
15; 10; 27; 46.976188; 38.378486; 15; 46.976188;
15; 13; 26; 15.744804; 15.388258; 26; 15.744804;
15; 4; 19; 6.530207; 4.282336; 19; 6.530207;
15; 1; 15; 47.028397; 32.243072; 9; 47.028397;
15; 18; 13; 18.369008; 18.911797; 13; 18.369008;
15; 8; 12; 15.473069; 15.390541; 22; 14.178337;
15; 9; 11; 48.863551; 48.590048; 12; 7.509299;



16; 17; 92; 17.502122; 18.242275; 92; 17.502122;
16; 0; 72; 3.125979; 6.530207; 72; 3.125979;
16; 11; 61; 45.966172; 46.449953; 61; 45.966172;
16; 6; 55; 3.814575; 9.366009; 55; 3.814575;
16; 14; 52; 45.648130; 45.286701; 52; 45.648130;
16; 7; 48; 18.277346; 16.831432; 48; 18.277346;
16; 5; 46; 7.913949; 9.394559; 46; 7.913949;
16; 15; 36; 17.409820; 19.154758; 36; 17.409820;
16; 3; 30; 17.413895; 17.555657; 30; 17.413895;
16; 2; 30; 39.762794; 36.399720; 30; 39.762794;
16; 13; 26; 15.678826; 15.744804; 26; 15.678826;
16; 8; 22; 17.187739; 14.178337; 12; 17.187739;
16; 4; 19; 3.125979; 6.530207; 19; 3.125979;
16; 10; 15; 46.261321; 46.976188; 15; 46.261321;
16; 19; 15; 46.447387; 46.344878; 15; 46.447387;
16; 18; 13; 17.968677; 18.369008; 13; 17.968677;
16; 9; 12; 48.673410; 7.509299; 11; 48.673410;
16; 12; 10; 46.014327; 46.000608; 10; 46.014327;
16; 1; 9; 45.860886; 47.028397; 9; 45.860886;
16; 16; 7; 45.914892; 46.107003; 9; 15.946666;



17; 17; 92; 18.762420; 17.502122; 92; 18.762420;
17; 0; 72; 3.339340; 3.125979; 72; 3.339340;
17; 11; 61; 47.520642; 45.966172; 61; 47.520642;
17; 6; 55; 7.850573; 3.814575; 55; 7.850573;
17; 14; 52; 45.906332; 45.648130; 52; 45.906332;
17; 7; 48; 16.445902; 18.277346; 48; 16.445902;
17; 5; 46; 10.706285; 7.913949; 46; 10.706285;
17; 15; 36; 17.954104; 17.409820; 36; 17.954104;
17; 3; 30; 18.773720; 17.413895; 30; 18.773720;
17; 2; 30; 35.626043; 39.762794; 30; 35.626043;
